PTM Combination,Percentage Abundance
R8unK14unR17unK18unK23unR26unK27me3,0.34097409430034453
R8unK14unR17unK18unK23unR26unK36un,0.2504521810664825
R8unK14unR17unK18unK23unK27me3K36un,0.23027438940487718
R8unK14unR17unK18unR26unK27me3K36un,0.23009232629093668
R8unK14unR17unK23unR26unK27me3K36un,0.24129813487507829
R8unK14unK18unK23unR26unK27me3K36un,0.23185229024771017
R8unR17unK18unK23unR26unK27me3K36un,0.32878804343041296
K9unK14unR17unK18unK23unR26unK27me3,0.03222616853742275
K9unK14unR17unK18unK23unR26unK36un,0.0321468222161572
K9unK14unR17unK18unK23unK27me3K36un,0.0321468222161572
K9unK14unR17unK18unR26unK27me3K36un,0.0321468222161572
K9unK14unR17unK23unR26unK27me3K36un,0.0321468222161572
K9unK14unK18unK23unR26unK27me3K36un,0.0321468222161572
K9unR17unK18unK23unR26unK27me3K36un,0.036848448834212906
K14unR17unK18unK23unR26unK27me3K36un,0.22971544357813478
K4unR8unK9unK14unR17unK18unR26me1,0.0114173741477641
K4unR8unK9unK14unR17unK18unK27me2,0.0190717576287564
K4unR8unK9unK14unR17unK23unR26me1,0.0089302659240734
K4unR8unK9unK14unR17unK23unK27me2,0.013405871270690501
K4unR8unK9unK14unR17unR26me1K27me2,0.0089302659240734
K4unR8unK9unK14unR17unR26me1K36un,0.0114173741477641
K4unR8unK9unK14unR17unK27me2K36un,0.014281697540910299
K4unR8unK9unK14unK18unK23unR26me1,0.0089302659240734
K4unR8unK9unK14unK18unK23unK27me2,0.058315211880473804
K4unR8unK9unK14unK18unR26me1K27me2,0.0089302659240734
K4unR8unK9unK14unK18unR26me1K36un,0.0114173741477641
K4unR8unK9unK14unK18unK27me2K36un,0.056868754547806696
K4unR8unK9unK14unK23unR26me1K27me2,0.0089302659240734
K4unR8unK9unK14unK23unR26me1K36un,0.0089302659240734
K4unR8unK9unK14unK23unK27me2K36un,0.0556596958920485
K4unR8unK9unK14unR26me1K27me2K36un,0.0089302659240734
K4unR8unK9unR17unK18unK23unR26me1,0.0171449373716307
K4unR8unK9unR17unK18unK23unK27me2,0.0138906915769458
K4unR8unK9unR17unK18unR26me1K27me2,0.0089302659240734
K4unR8unK9unR17unK18unR26me1K36un,0.015611524154299101
K4unR8unK9unR17unK18unK27me2K36un,0.026884119586135596
K4unR8unK9unR17unK23unR26me1K27me2,0.0089302659240734
K4unR8unK9unR17unK23unR26me1K36un,0.0126846865971145
K4unR8unK9unR17unK23unK27me2K36un,0.0135333006745976
K4unR8unK9unR17unR26me1K27me2K36un,0.0089302659240734
K4unR8unK9unK18unK23unR26me1K27me2,0.0089302659240734
K4unR8unK9unK18unK23unR26me1K36un,0.0126846865971145
K4unR8unK9unK18unK23unK27me2K36un,0.0556596958920485
K4unR8unK9unK18unR26me1K27me2K36un,0.0089302659240734
K4unR8unK9unK23unR26me1K27me2K36un,0.0089302659240734
K4unR8unK14unR17unK18unK23unR26me1,0.0828071088344258
K4unR8unK14unR17unK18unK23unK27me2,0.0552574725943357
K4unR8unK14unR17unK18unR26me1K27me2,0.0089302659240734
K4unR8unK14unR17unK18unR26me1K36un,0.041829105090101903
K4unR8unK14unR17unK18unK27me2K36un,0.0340683724196666
K4unR8unK14unR17unK23unR26me1K27me2,0.0089302659240734
