filename,condition,sample_name,biorep,histone
processed_kidney_5mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_4,4,H3.3
processed_kidney_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_1,1,H3.2
processed_kidney_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_1,1,H3.3
processed_kidney_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_2,2,H3.2
processed_kidney_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_2,2,H3.3
processed_kidney_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_3,3,H3.2
processed_kidney_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_3,3,H3.3
processed_kidney_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_4,4,H3.2
processed_kidney_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_10mo,kidney_10mo_4,4,H3.3
processed_kidney_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_18mo,kidney_18mo_1,1,H3.2
processed_kidney_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_18mo,kidney_18mo_1,1,H3.3
processed_kidney_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_18mo,kidney_18mo_2,2,H3.2
processed_kidney_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_18mo,kidney_18mo_2,2,H3.3
processed_kidney_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_24mo,kidney_24mo_1,1,H3.2
processed_kidney_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_24mo,kidney_24mo_1,1,H3.3
processed_kidney_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_24mo,kidney_24mo_2,2,H3.2
processed_kidney_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_24mo,kidney_24mo_2,2,H3.3
processed_liver_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_1,1,H3.2
processed_liver_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_1,1,H3.3
